row_index,borrower_id,feature,rank,shap_value,absolute_shap,direction,feature_value
51210,51211,missed_payment_ratio,4,0.2764098048210144,0.2764098048210144,increases_risk,0.6666666666666666
51210,51211,recent_enquiries_12m,5,0.272776335477829,0.272776335477829,increases_risk,31.0
51210,51211,monthly_income_inr,6,-0.10925903916358948,0.10925903916358948,decreases_risk,45000
51210,51211,active_loans,7,-0.09523606300354004,0.09523606300354004,decreases_risk,3
51210,51211,secured_loans,8,0.07784627377986908,0.07784627377986908,increases_risk,1
51210,51211,total_enquiries,9,-0.06497209519147873,0.06497209519147873,decreases_risk,32.0
51210,51211,closed_loans,10,0.05799408629536629,0.05799408629536629,increases_risk,0
45890,45891,recent_enquiries_6m,1,2.4353599548339844,2.4353599548339844,increases_risk,9.0
45890,45891,delinquency_score,2,0.6834858655929565,0.6834858655929565,increases_risk,4
45890,45891,personal_loans,3,-0.34557539224624634,0.34557539224624634,decreases_risk,3
45890,45891,credit_history_months,4,0.29573437571525574,0.29573437571525574,increases_risk,30.0
45890,45891,recent_enquiries_12m,5,0.2699965536594391,0.2699965536594391,increases_risk,13.0
45890,45891,active_loans,6,-0.24978047609329224,0.24978047609329224,decreases_risk,4
45890,45891,num_times_delinquent,7,0.22187159955501556,0.22187159955501556,increases_risk,2
45890,45891,secured_loans,8,0.16099923849105835,0.16099923849105835,increases_risk,0
45890,45891,active_loan_ratio,9,-0.14976619184017181,0.14976619184017181,decreases_risk,0.8
45890,45891,total_enquiries,10,-0.07142522186040878,0.07142522186040878,decreases_risk,17.0
10003,10004,delinquency_score,1,-0.7018198370933533,0.7018198370933533,decreases_risk,0
10003,10004,recent_enquiries_6m,2,-0.6987606883049011,0.6987606883049011,decreases_risk,1.0
10003,10004,loan_type_diversity,3,-0.23069484531879425,0.23069484531879425,decreases_risk,0
10003,10004,secured_loans,4,0.1836109757423401,0.1836109757423401,increases_risk,0
10003,10004,active_loans,5,0.13891978561878204,0.13891978561878204,increases_risk,1
