threshold,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,actual_default_rate,predicted_default_rate,actual_defaults,predicted_defaults,actual_non_defaults,true_negatives,false_positives,false_negatives,true_positives,expected_loss_proxy
0.05,0.5956369302687963,0.3881271658882025,0.9658792650918635,0.46572819365872914,0.5537403267411866,0.5342718063412709,0.03412073490813648,0.2597389949357226,0.6463770938839112,2667,6637,7601,3540,4061,91,2576,0.4398130112972341
0.1,0.7015971951694585,0.4634101382488479,0.9426321709786277,0.6170240757795027,0.6213544241225902,0.3829759242204973,0.05736782902137233,0.2597389949357226,0.5283404752629529,2667,5425,7601,4690,2911,153,2514,0.358005453837164
0.15,0.753408648227503,0.5142675967025999,0.9122609673790776,0.6976713590317064,0.6577453365774534,0.30232864096829365,0.08773903262092239,0.2597389949357226,0.46075185040903777,2667,4731,7601,5303,2298,234,2433,0.33774834437086093
0.2,0.7862290611608882,0.5561103185924869,0.8770153730783652,0.7543744244178398,0.6806343663611233,0.24562557558216025,0.1229846269216348,0.2597389949357226,0.409622126996494,2667,4206,7601,5734,1867,328,2339,0.34154655239579274
0.25,0.8104791585508375,0.5968305130271286,0.833145856767904,0.8025259834232338,0.6954616588419406,0.19747401657676622,0.166854143232096,0.2597389949357226,0.36258278145695366,2667,3723,7601,6100,1501,445,2222,0.36287495130502534
0.3,0.8249902610050642,0.6292335115864528,0.7941507311586051,0.835811077489804,0.7021382396817504,0.16418892251019604,0.20584926884139482,0.2597389949357226,0.32781456953642385,2667,3366,7601,6353,1248,549,2118,0.3888780677834048
0.35,0.8351188157382158,0.6582196231319039,0.7596550431196101,0.8615971582686489,0.7053089643167972,0.13840284173135114,0.24034495688038995,0.2597389949357226,0.29976626412154267,2667,3078,7601,6549,1052,641,2026,0.4145890144137125
0.4,0.8440786910790806,0.6900855920114123,0.7255343082114736,0.8856729377713459,0.7073661122281119,0.11432706222865413,0.2744656917885264,0.2597389949357226,0.27308141799766267,2667,2804,7601,6732,869,732,1935,0.4410790806388781
0.45,0.846805609661083,0.7150157232704403,0.682039745031871,0.9046178134455992,0.6981385530608328,0.09538218655440074,0.31796025496812896,0.2597389949357226,0.2477600311647838,2667,2544,7601,6876,725,848,1819,0.48354109855862876
0.5,0.8496299181924425,0.7465963987703118,0.6374203224596925,0.9240889356663596,0.6877022653721683,0.07591106433364031,0.36257967754030745,0.2597389949357226,0.22175691468640435,2667,2277,7601,7024,577,967,1700,0.5270744059213089
0.55,0.845929100116868,0.7697662854301343,0.5804274465691789,0.9390869622418103,0.6618212911500642,0.06091303775818971,0.41957255343082117,0.2597389949357226,0.19585118815738214,2667,2011,7601,7138,463,1119,1548,0.5899883132060771
0.6,0.8402804830541488,0.7969924812030075,0.5166854143232096,0.9538218655440074,0.626933575978162,0.046178134455992635,0.4833145856767904,0.2597389949357226,0.16838722243864432,2667,1729,7601,7250,351,1289,1378,0.6618620958317102
0.65,0.8358005453837164,0.8280936454849498,0.4641919760029996,0.9661886593869228,0.5949062950504566,0.03381134061307723,0.5358080239970003,0.2597389949357226,0.14559797428905338,2667,1495,7601,7344,257,1429,1238,0.7208804051421893
0.7,0.8271328398909232,0.8473520249221184,0.4079490063742032,0.9742139192211551,0.5507466464186282,0.025786080778844887,0.5920509936257968,0.2597389949357226,0.1250486949746786,2667,1284,7601,7405,196,1579,1088,0.7879820802493183
0.75,0.8182703544994157,0.8803418803418803,0.34758155230596177,0.9834232337850283,0.49838709677419357,0.016576766214971714,0.6524184476940382,0.2597389949357226,0.10255161667315933,2667,1053,7601,7475,126,1740,927,0.8595636930268796
0.8,0.8051227113361901,0.9070904645476773,0.2782152230971129,0.9900013156163663,0.4258249641319943,0.009998684383633733,0.7217847769028871,0.2597389949357226,0.07966497857421115,2667,818,7601,7525,76,1925,742,0.9447798987144527
0.85,0.788761199844176,0.9337979094076655,0.20097487814023246,0.9950006578081831,0.33076211045973464,0.004999342191816867,0.7990251218597675,0.2597389949357226,0.05590183093104792,2667,574,7601,7563,38,2131,536,1.0413907284768211
0.9,0.7739579275418776,0.970108695652174,0.13385826771653545,0.9985528219971056,0.23525535420098848,0.001447178002894356,0.8661417322834646,0.2597389949357226,0.03583950136345929,2667,368,7601,7590,11,2310,357,1.1259252045188937
0.95,0.7567199065056486,0.9941520467836257,0.06374203224596925,0.9998684383633732,0.11980267794221283,0.00013156163662675965,0.9362579677540307,0.2597389949357226,0.016653681340085703,2667,171,7601,7600,1,2497,170,1.216010907674328
