bin,borrowers,mean_predicted_probability,observed_default_rate,model,calibration_error
"(0.0014099999999999998, 0.0144]",771,1.118744134902954,0.5188067444876783,Base Conservative XGBoost,0.5999374202175982
"(0.0144, 0.029]",770,2.162781000137329,4.285714285714286,Base Conservative XGBoost,2.1229333004781177
"(0.029, 0.041]",770,3.4819819927215576,3.116883116883117,Base Conservative XGBoost,0.3650987864314736
"(0.041, 0.0666]",770,5.154551029205322,3.2467532467532463,Base Conservative XGBoost,1.907797573835819
"(0.0666, 0.117]",770,8.823079109191895,7.012987012987012,Base Conservative XGBoost,1.8100918577863028
"(0.117, 0.208]",770,15.886923789978027,16.623376623376622,Base Conservative XGBoost,0.7364529526078856
"(0.208, 0.35]",770,26.76778221130371,28.18181818181818,Base Conservative XGBoost,1.414036804979496
"(0.35, 0.546]",770,44.758689880371094,44.8051948051948,Base Conservative XGBoost,0.04650540166086792
"(0.546, 0.764]",770,65.14714050292969,64.80519480519482,Base Conservative XGBoost,0.3419487971764057
"(0.764, 0.997]",770,87.55197143554688,87.14285714285714,Base Conservative XGBoost,0.4091181073869965
"(0.0010899999999999998, 0.013]",771,1.002277413742738,0.5188067444876783,Sigmoid Calibrated Conservative XGBoost,0.48347066925505955
"(0.013, 0.0265]",770,1.9659291175499778,4.285714285714286,Sigmoid Calibrated Conservative XGBoost,2.3197851681643082
"(0.0265, 0.0378]",770,3.198293661207965,3.116883116883117,Sigmoid Calibrated Conservative XGBoost,0.08141054432484786
"(0.0378, 0.0621]",770,4.779879111667617,3.2467532467532463,Sigmoid Calibrated Conservative XGBoost,1.5331258649143704
"(0.0621, 0.111]",770,8.294552327309457,7.012987012987012,Sigmoid Calibrated Conservative XGBoost,1.2815653143224441
"(0.111, 0.201]",770,15.18060027972575,16.623376623376622,Sigmoid Calibrated Conservative XGBoost,1.442776343650873
"(0.201, 0.342]",770,25.982557758028108,28.18181818181818,Sigmoid Calibrated Conservative XGBoost,2.1992604237900726
"(0.342, 0.541]",770,44.15645745601362,44.8051948051948,Sigmoid Calibrated Conservative XGBoost,0.6487373491811832
"(0.541, 0.764]",770,64.96642708954514,64.80519480519482,Sigmoid Calibrated Conservative XGBoost,0.1612322843503211
"(0.764, 0.997]",770,87.71618451466,87.14285714285714,Sigmoid Calibrated Conservative XGBoost,0.5733273718028564
"(-0.001, 0.0202]",813,0.5266422629356384,0.6150061500615006,Isotonic Calibrated Conservative XGBoost,0.08836390947760397
"(0.0202, 0.0233]",813,2.326251268386841,4.305043050430505,Isotonic Calibrated Conservative XGBoost,1.9787916702849544
"(0.0233, 0.0295]",1731,2.9487624168395996,3.697284806470248,Isotonic Calibrated Conservative XGBoost,0.7485223300260038
"(0.0295, 0.137]",662,10.395055770874023,8.761329305135952,Isotonic Calibrated Conservative XGBoost,1.6337267041566503
"(0.137, 0.219]",778,18.877107620239258,19.92287917737789,Isotonic Calibrated Conservative XGBoost,1.045770782278252
"(0.219, 0.35]",600,28.049522399902344,28.666666666666668,Isotonic Calibrated Conservative XGBoost,0.6171440283457452
"(0.35, 0.571]",826,46.35894012451172,45.883777239709445,Isotonic Calibrated Conservative XGBoost,0.47516276559298465
"(0.571, 0.717]",738,67.16220092773438,65.17615176151762,Isotonic Calibrated Conservative XGBoost,1.9860520272397042
"(0.717, 1.0]",740,86.80157470703125,87.97297297297297,Isotonic Calibrated Conservative XGBoost,1.1713963585930909
