group_type,groups_evaluated,roc_auc_min,roc_auc_max,roc_auc_range,pr_auc_min,pr_auc_max,pr_auc_range,brier_score_min,brier_score_max,brier_score_range,precision_min,precision_max,precision_range,recall_min,recall_max,recall_range,specificity_min,specificity_max,specificity_range,false_positive_rate_min,false_positive_rate_max,false_positive_rate_range,false_negative_rate_min,false_negative_rate_max,false_negative_rate_range,f1_min,f1_max,f1_range
gender,2,0.8972077301904934,0.9027622762276228,0.00555454603712946,0.7775853838748688,0.7788395384487388,0.0012541545738700144,0.09881898854000595,0.10804709129314642,0.009228102753140469,0.7105263157894737,0.7513674788662357,0.040841163076762,0.6316889632107023,0.6872727272727273,0.05558376406202492,0.9152915291529153,0.9252839210998207,0.009992391946905377,0.07471607890017933,0.0847084708470847,0.009992391946905377,0.31272727272727274,0.36831103678929766,0.05558376406202492,0.6863502157619805,0.6987060998151571,0.012355884053176558
age_band,5,0.8852357320099256,0.9051738921304139,0.019938160120488324,0.7094890236711731,0.8424925075979286,0.13300348392675554,0.06140876076939544,0.11897494299929155,0.05756618222989611,0.7058823529411765,0.8095238095238095,0.10364145658263302,0.5483870967741935,0.7134387351778656,0.1650516384036721,0.8899470899470899,0.9807692307692307,0.0908221408221408,0.019230769230769232,0.11005291005291006,0.09082214082214082,0.2865612648221344,0.45161290322580644,0.16505163840367204,0.6297376093294461,0.7435633367662204,0.11382572743677433
education,5,0.885315578817734,0.9119435008045771,0.02662792198684305,0.7366104158028065,0.8128621451394225,0.07625172933661595,0.09151528710400877,0.11256671786229809,0.021051430758289316,0.6908602150537635,0.7713567839195979,0.08049656886583445,0.5736607142857143,0.6930022573363431,0.11934154305062883,0.9206896551724137,0.939209726443769,0.018520071271355243,0.060790273556231005,0.07931034482758621,0.018520071271355208,0.30699774266365687,0.4263392857142857,0.11934154305062883,0.6268292682926829,0.7300832342449465,0.10325396595226355
marital_status,2,0.894397260311416,0.8983218148677772,0.003924554556361204,0.7522234341223012,0.8244179116455964,0.07219447752329522,0.10233254270957033,0.11997885135570524,0.01764630864613491,0.7356948228882834,0.7663782447466008,0.030683421858317406,0.6108597285067874,0.6896551724137931,0.07879544390700577,0.8954067515218594,0.9330341732827062,0.03762742176084677,0.06696582671729376,0.10459324847814057,0.03762742176084681,0.3103448275862069,0.3891402714932127,0.07879544390700577,0.6674907292954264,0.7259953161592506,0.058504586863824204
income_tier,4,0.8751632832119941,0.9292196007259528,0.054056317513958674,0.7062510957532921,0.8407241168932805,0.13447302113998838,0.09398729884168866,0.11448311191979155,0.020495813078102887,0.7087628865979382,0.7924528301886793,0.08368994359074111,0.6017505470459519,0.7368421052631579,0.13509155821720598,0.9209969433341171,0.9335644136337378,0.012567470299620687,0.06643558636626228,0.0790030566658829,0.012567470299620631,0.2631578947368421,0.3982494529540481,0.13509155821720603,0.650887573964497,0.7636363636363637,0.11274878967186663
cibil_band,3,0.6098729461561321,0.8876587958159232,0.27778584965979114,0.11218203487603302,0.6933892440740892,0.5812072091980561,0.05011835634214029,0.11508466907277747,0.06496631273063717,0.0,1.0,1.0,0.0,0.9615384615384616,0.9615384615384616,0.909952606635071,0.9943684633950121,0.08441585675994101,0.0056315366049879325,0.09004739336492891,0.08441585675994098,0.038461538461538464,1.0,0.9615384615384616,0.0,0.9803921568627451,0.9803921568627451
