subgroup,group,n,default_rate_pct,roc_auc,pr_auc,precision,recall
gender,F,1184,23.22635135135135,0.9034663466346634,0.7810173866769772,0.7181467181467182,0.6763636363636364
gender,M,9084,26.33201232937032,0.8965047056136516,0.7773790008891719,0.7455357142857143,0.6283444816053512
age_band,under_25,1451,34.87250172294969,0.9043018173452956,0.8406494443785245,0.7663157894736842,0.7193675889328063
age_band,25_to_34,4638,28.999568779646403,0.8907992282830425,0.7865759662807981,0.7346251053074979,0.6483271375464684
age_band,35_to_44,2811,21.166844539309853,0.8872940873100144,0.7163120707355908,0.746031746031746,0.5529411764705883
age_band,45_to_54,1129,16.82905225863596,0.8971974665097248,0.7131149995752177,0.7105263157894737,0.5684210526315789
age_band,55_plus,239,12.97071129707113,0.8793424317617865,0.7243864439682063,0.8,0.5161290322580645
income_tier,low,5820,26.924398625429554,0.8966602050191381,0.7863663653974485,0.746844840386043,0.6419910657306956
income_tier,middle,2310,25.064935064935064,0.9116107873392739,0.7973250313927366,0.7594142259414226,0.6269430051813472
income_tier,upper_middle,202,28.217821782178216,0.9288566243194193,0.849421742208496,0.8076923076923077,0.7368421052631579
income_tier,very_low,1906,23.97691500524659,0.8749292124803494,0.7063170788818647,0.6982097186700768,0.5973741794310722
cibil_band,good,8358,24.264178033022255,0.8870645870919293,0.6916303234382387,0.6713881019830028,0.584319526627219
cibil_band,very_good,1354,8.197932053175776,0.6125981170228958,0.11157537480442117,0.0,0.0
has_gold_loan,False,7490,27.570093457943923,0.9028034054518472,0.7963256559240715,0.7515218594355285,0.6576271186440678
has_gold_loan,True,2778,21.670266378689703,0.873531243892906,0.7034868027032251,0.7072649572649573,0.5498338870431894
education,12TH,2898,25.81090407177364,0.8882405795299092,0.7467611724990593,0.7271241830065359,0.5949197860962567
education,GRADUATE,3308,27.781136638452235,0.9023601098797491,0.8016022910566276,0.760705289672544,0.6572361262241567
education,OTHERS,1688,26.244075829383885,0.9090048682313905,0.8141080438996572,0.7738693467336684,0.6952595936794582
education,POST_GRADUATE,431,23.665893271461716,0.9133738601823709,0.809393792601775,0.7674418604651163,0.6470588235294118
education,SSC,1898,23.603793466807165,0.88501539408867,0.7350028921651085,0.6949602122015915,0.5848214285714286
