model,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,true_negatives,false_positives,false_negatives,true_positives
Model 0 — Logistic Baseline,0.7041586993442686,0.42265587618132766,0.5930074016361512,0.36284470246734396,0.7499062617172854,0.4890573419733464,0.22286854172677684,4089,3512,667,2000
Model 1 — Conservative XGBoost,0.7987354100142823,0.589486041426995,0.7845734320218154,0.6243849097867687,0.42819647544056993,0.5080071174377224,0.1475822709265802,6914,687,1525,1142
Model 2 — Expanded XGBoost,0.9998080591195669,0.999453510372118,0.9940592130892092,0.980457227138643,0.9970003749531309,0.9886596021565347,0.004502426735843478,7548,53,8,2659
