model,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,log_loss
Base Conservative XGBoost,0.8936357656551484,0.7732714533569263,0.848071679002727,0.7390552995391705,0.6415,0.686830835117773,0.10845091059130954,0.3463603893668821
Sigmoid Calibrated Conservative XGBoost,0.8936357656551484,0.7732714533569263,0.847682119205298,0.7408270238788585,0.636,0.6844229217110573,0.10847119553700071,0.3463739442273144
Isotonic Calibrated Conservative XGBoost,0.8921521224346607,0.7572014073153096,0.845214907154915,0.7466422466422467,0.6115,0.6723474436503574,0.1087790607627195,0.3509070393397022
